TicketID,Description,Category
400,How do I change my registered phone number?,General Query
401,Why was extra delivery charge added?,Billing Issue
402,Login page keeps refreshing automatically,Technical Problem
403,Why is my delivery date postponed?,Order Status
404,Is there any student discount available?,General Query
405,Why am I seeing wrong bill amount in my invoice?,Billing Issue
406,Website not loading on my laptop,Technical Problem
407,Delivery agent marked order delivered but I did not receive it,Order Status
408,Do you provide installation service for appliances?,General Query
409,Refund initiated but not reflecting in my bank account,Billing Issue
410,Login page keeps refreshing automatically,Technical Problem
411,Delivery agent marked order delivered but I did not receive it,Order Status
412,Do you provide installation service for appliances?,General Query
413,Why was extra delivery charge added?,Billing Issue
414,OTP is not being received for login,Technical Problem
415,How can I track my current order?,Order Status
416,Can I schedule delivery at a specific time?,General Query
417,Refund initiated but not reflecting in my bank account,Billing Issue
418,Website stuck at payment page,Technical Problem
419,Package is in transit for too long,Order Status
420,What is Flipkart Plus membership?,General Query
421,Transaction failed but balance deducted from my account,Billing Issue
422,Website stuck at payment page,Technical Problem
423,My tracking ID shows delivered but I did not get the package,Order Status
424,How do I change my registered phone number?,General Query
425,Payment deducted but order not confirmed,Billing Issue
426,Unable to update my profile in the app,Technical Problem
427,My tracking ID shows delivered but I did not get the package,Order Status
428,Do you offer gift wrapping service?,General Query
429,Refund not yet received for cancelled product,Billing Issue
430,Website not loading on my laptop,Technical Problem
431,Estimated delivery keeps changing,Order Status
432,What is Flipkart Plus membership?,General Query
433,Cashback not credited to my wallet,Billing Issue
434,Website stuck at payment page,Technical Problem
435,When will my shoes be shipped?,Order Status
436,How do I change my registered phone number?,General Query
437,Transaction failed but balance deducted from my account,Billing Issue
438,OTP is not being received for login,Technical Problem
439,Why is my delivery date postponed?,Order Status
440,Can I schedule delivery at a specific time?,General Query
441,Refund not yet received for cancelled product,Billing Issue
442,Unable to update my profile in the app,Technical Problem
443,How can I track my current order?,Order Status
444,What are your customer care working hours?,General Query
445,I was charged twice for my order,Billing Issue
446,OTP is not being received for login,Technical Problem
447,Order stuck at warehouse for 3 days,Order Status
448,How do I check my Flipkart SuperCoins balance?,General Query
449,I was charged twice for my order,Billing Issue
450,The Flipkart app crashes on checkout,Technical Problem
451,Delivery agent marked order delivered but I did not receive it,Order Status
452,How do I check my Flipkart SuperCoins balance?,General Query
453,Cashback not credited to my wallet,Billing Issue
454,Cart is not updating when I add items,Technical Problem
455,Where is my mobile order? It is delayed,Order Status
456,What are your customer care working hours?,General Query
457,Why am I seeing wrong bill amount in my invoice?,Billing Issue
458,Search function not working properly,Technical Problem
459,Why is my delivery date postponed?,Order Status
460,What are your customer care working hours?,General Query
461,I was charged twice for my order,Billing Issue
462,Search function not working properly,Technical Problem
463,Estimated delivery keeps changing,Order Status
464,Do you provide installation service for appliances?,General Query
465,Why was extra delivery charge added?,Billing Issue
466,Search function not working properly,Technical Problem
467,Estimated delivery keeps changing,Order Status
468,How do I check my Flipkart SuperCoins balance?,General Query
469,Payment gateway error during checkout,Billing Issue
470,Login page keeps refreshing automatically,Technical Problem
471,Why is my delivery date postponed?,Order Status
472,Do you provide installation service for appliances?,General Query
473,I was charged twice for my order,Billing Issue
474,Website stuck at payment page,Technical Problem
475,Where is my mobile order? It is delayed,Order Status
476,Do you deliver to small towns in Tamil Nadu?,General Query
477,Refund not yet received for cancelled product,Billing Issue
478,Search function not working properly,Technical Problem
479,How can I track my current order?,Order Status
480,How do I check my Flipkart SuperCoins balance?,General Query
481,Why was extra delivery charge added?,Billing Issue
482,OTP is not being received for login,Technical Problem
483,Estimated delivery keeps changing,Order Status
484,What are your customer care working hours?,General Query
485,Cashback not credited to my wallet,Billing Issue
486,Login page keeps refreshing automatically,Technical Problem
487,When will my shoes be shipped?,Order Status
488,How can I become a Flipkart Plus member?,General Query
489,Why was extra delivery charge added?,Billing Issue
490,Unable to update my profile in the app,Technical Problem
491,My tracking ID shows delivered but I did not get the package,Order Status
492,What are your customer care working hours?,General Query
493,Transaction failed but balance deducted from my account,Billing Issue
494,OTP is not being received for login,Technical Problem
495,Package is in transit for too long,Order Status
496,Is there any student discount available?,General Query
497,I was charged twice for my order,Billing Issue
498,OTP is not being received for login,Technical Problem
499,Where is my mobile order? It is delayed,Order Status
500,How can I become a Flipkart Plus member?,General Query
501,Transaction failed but balance deducted from my account,Billing Issue
502,Cart is not updating when I add items,Technical Problem
503,Delivery agent marked order delivered but I did not receive it,Order Status
504,Is there any student discount available?,General Query
505,Payment gateway error during checkout,Billing Issue
506,OTP is not being received for login,Technical Problem
507,My tracking ID shows delivered but I did not get the package,Order Status
508,Do you offer gift wrapping service?,General Query
509,Cashback not credited to my wallet,Billing Issue
510,Website stuck at payment page,Technical Problem
511,When will my shoes be shipped?,Order Status
512,Do you provide installation service for appliances?,General Query
513,My EMI payment failed but money was debited,Billing Issue
514,Search function not working properly,Technical Problem
515,When will my shoes be shipped?,Order Status
516,What is Flipkart Plus membership?,General Query
517,Transaction failed but balance deducted from my account,Billing Issue
518,OTP is not being received for login,Technical Problem
519,How can I track my current order?,Order Status
520,Do you deliver to small towns in Tamil Nadu?,General Query
521,Why was extra delivery charge added?,Billing Issue
522,Website not loading on my laptop,Technical Problem
523,Estimated delivery keeps changing,Order Status
524,Do you provide installation service for appliances?,General Query
525,Transaction failed but balance deducted from my account,Billing Issue
526,Website stuck at payment page,Technical Problem
527,Where is my mobile order? It is delayed,Order Status
528,Do you offer gift wrapping service?,General Query
529,Refund initiated but not reflecting in my bank account,Billing Issue
530,Search function not working properly,Technical Problem
531,When will my shoes be shipped?,Order Status
532,How do I change my registered phone number?,General Query
533,Refund not yet received for cancelled product,Billing Issue
534,Login page keeps refreshing automatically,Technical Problem
535,Why is my delivery date postponed?,Order Status
536,How do I change my registered phone number?,General Query
537,Transaction failed but balance deducted from my account,Billing Issue
538,I cannot login with my mobile number,Technical Problem
539,Package is in transit for too long,Order Status
540,Do you deliver to small towns in Tamil Nadu?,General Query
541,Payment deducted but order not confirmed,Billing Issue
542,OTP is not being received for login,Technical Problem
543,Package is in transit for too long,Order Status
544,Do you deliver to small towns in Tamil Nadu?,General Query
545,Refund initiated but not reflecting in my bank account,Billing Issue
546,OTP is not being received for login,Technical Problem
547,Order stuck at warehouse for 3 days,Order Status
548,What is Flipkart Plus membership?,General Query
549,Refund not yet received for cancelled product,Billing Issue
550,Website stuck at payment page,Technical Problem
551,When will my shoes be shipped?,Order Status
552,Do you offer gift wrapping service?,General Query
553,Why am I seeing wrong bill amount in my invoice?,Billing Issue
554,Unable to update my profile in the app,Technical Problem
555,Courier details are not updating,Order Status
556,Do you deliver to small towns in Tamil Nadu?,General Query
557,Payment deducted but order not confirmed,Billing Issue
558,Cart is not updating when I add items,Technical Problem
559,Estimated delivery keeps changing,Order Status
560,How do I check my Flipkart SuperCoins balance?,General Query
561,Payment gateway error during checkout,Billing Issue
562,App shows error while placing order,Technical Problem
563,Package is in transit for too long,Order Status
564,How can I become a Flipkart Plus member?,General Query
565,Refund initiated but not reflecting in my bank account,Billing Issue
566,Unable to update my profile in the app,Technical Problem
567,When will my shoes be shipped?,Order Status
568,Is there any student discount available?,General Query
569,My EMI payment failed but money was debited,Billing Issue
570,App shows error while placing order,Technical Problem
571,Where is my mobile order? It is delayed,Order Status
572,How do I change my registered phone number?,General Query
573,I was charged twice for my order,Billing Issue
574,Unable to update my profile in the app,Technical Problem
575,Where is my mobile order? It is delayed,Order Status
576,Is there any student discount available?,General Query
577,Payment gateway error during checkout,Billing Issue
578,Website not loading on my laptop,Technical Problem
579,My tracking ID shows delivered but I did not get the package,Order Status
580,How do I check my Flipkart SuperCoins balance?,General Query
581,Payment deducted but order not confirmed,Billing Issue
582,Login page keeps refreshing automatically,Technical Problem
583,Where is my mobile order? It is delayed,Order Status
584,How do I check my Flipkart SuperCoins balance?,General Query
585,Why was extra delivery charge added?,Billing Issue
586,The Flipkart app crashes on checkout,Technical Problem
587,Order stuck at warehouse for 3 days,Order Status
588,How do I change my registered phone number?,General Query
589,Refund not yet received for cancelled product,Billing Issue
590,Login page keeps refreshing automatically,Technical Problem
591,Estimated delivery keeps changing,Order Status
592,Do you provide installation service for appliances?,General Query
593,Transaction failed but balance deducted from my account,Billing Issue
594,I cannot login with my mobile number,Technical Problem
595,Where is my mobile order? It is delayed,Order Status
596,How do I change my registered phone number?,General Query
597,I was charged twice for my order,Billing Issue
598,The Flipkart app crashes on checkout,Technical Problem
599,Why is my delivery date postponed?,Order Status
600,Can I schedule delivery at a specific time?,General Query
601,Refund initiated but not reflecting in my bank account,Billing Issue
602,Website stuck at payment page,Technical Problem
603,Courier details are not updating,Order Status
604,Is there any student discount available?,General Query
605,I was charged twice for my order,Billing Issue
606,Unable to update my profile in the app,Technical Problem
607,How can I track my current order?,Order Status
608,How can I become a Flipkart Plus member?,General Query
609,My EMI payment failed but money was debited,Billing Issue
610,The Flipkart app crashes on checkout,Technical Problem
611,Where is my mobile order? It is delayed,Order Status
612,Do you deliver to small towns in Tamil Nadu?,General Query
613,Transaction failed but balance deducted from my account,Billing Issue
614,Website stuck at payment page,Technical Problem
615,How can I track my current order?,Order Status
616,How do I check my Flipkart SuperCoins balance?,General Query
617,Why am I seeing wrong bill amount in my invoice?,Billing Issue
618,Cart is not updating when I add items,Technical Problem
619,Delivery agent marked order delivered but I did not receive it,Order Status
620,Do you provide installation service for appliances?,General Query
621,Refund not yet received for cancelled product,Billing Issue
622,The Flipkart app crashes on checkout,Technical Problem
623,Order stuck at warehouse for 3 days,Order Status
624,What is Flipkart Plus membership?,General Query
625,Refund not yet received for cancelled product,Billing Issue
626,App shows error while placing order,Technical Problem
627,Why is my delivery date postponed?,Order Status
628,How do I change my registered phone number?,General Query
629,Payment gateway error during checkout,Billing Issue
630,I cannot login with my mobile number,Technical Problem
631,Where is my mobile order? It is delayed,Order Status
632,What is Flipkart Plus membership?,General Query
633,Why was extra delivery charge added?,Billing Issue
634,Unable to update my profile in the app,Technical Problem
635,Why is my delivery date postponed?,Order Status
636,Do you offer gift wrapping service?,General Query
637,I was charged twice for my order,Billing Issue
638,OTP is not being received for login,Technical Problem
639,Delivery agent marked order delivered but I did not receive it,Order Status
640,How do I change my registered phone number?,General Query
641,I was charged twice for my order,Billing Issue
642,App shows error while placing order,Technical Problem
643,Courier details are not updating,Order Status
644,How do I check my Flipkart SuperCoins balance?,General Query
645,My EMI payment failed but money was debited,Billing Issue
646,App shows error while placing order,Technical Problem
647,Estimated delivery keeps changing,Order Status
648,How do I check my Flipkart SuperCoins balance?,General Query
649,Payment gateway error during checkout,Billing Issue
650,Website not loading on my laptop,Technical Problem
651,When will my shoes be shipped?,Order Status
652,What is Flipkart Plus membership?,General Query
653,I was charged twice for my order,Billing Issue
654,Website not loading on my laptop,Technical Problem
655,Delivery agent marked order delivered but I did not receive it,Order Status
656,What are your customer care working hours?,General Query
657,Cashback not credited to my wallet,Billing Issue
